"file","year","page_from","page_to","project_label","project_type_label","n","# SECTION 1: ABOUT THE PROJECT","# SECTION 2: PROJECT COSTS","# SECTION 3: PROJECT TIMESCALE","# SECTION 4: KEY USER REQUIREMENTS","# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL","# SECTION 1: ABOUT THE REQUIREMENT","# SECTION 2: THE ASSESSMENT PHASE","# SECTION 4: KEY USER REQUIREMENTS REVISED","# B. Section B: Cost","# C. Section C: Timescale","# D. Section D: Performance","# A. Section A: The Project","# A. Section A: The Project (2)","# D. Section D: Performance – Not Applicable","# E. Section E: Cancellation","NA"
"naomprss_2011_300_304.md",2011,300,304,"Utility Vehicles","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_305_309.md",2011,305,309,"Search and Rescue Helicopter","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_310_315.md",2011,310,315,"Solomon (formerly Dabinet)","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_316_321.md",2011,316,321,"Type 26 Global Combat Ship","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_322_326.md",2011,322,326,"United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_38_50.md",2011,38,50,"Airseeker","D&M Phase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_51_76.md",2011,51,76,"Astute Class Submarines","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2922,NA,NA,NA,NA
"naomprss_2011_77_90.md",2011,77,90,"Beyond Visual Range Air to Air Missile","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251,NA,NA,NA,NA
"naomprss_2011_91_101.md",2011,91,101,"Future Strategic Tanker Aircraft (Voyager)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,817,NA,NA,NA,NA
"naomprss_2012_114_133.md",2012,114,133,"Complex Weapons Pipeline","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2032,NA,NA,NA,NA
"naomprss_2012_134_171.md",2012,134,171,"Falcon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3311,NA,NA,NA,NA
"naomprss_2012_172_184.md",2012,172,184,"Future Strategic Tanker Aircraft (Voyager)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1394,NA,NA,NA,NA
"naomprss_2012_18_33.md",2012,18,33,"A400M","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,NA,NA
"naomprss_2012_185_208.md",2012,185,208,"Joint Combat Aircraft (Lightning II)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552,NA,NA,NA,NA
"naomprss_2012_209_231.md",2012,209,231,"Lynx Wildcat","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2066,NA,NA,NA,NA
"naomprss_2012_232_246.md",2012,232,246,"Merlin Capability Sustainment Programme","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1269,NA,NA,NA,NA
"naomprss_2012_247_269.md",2012,247,269,"Queen Elizabeth Class Aircraft Carriers","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426,NA,NA,NA,NA
"naomprss_2012_270_282.md",2012,270,282,"Scout Specialist Vehicles","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013,NA,NA,NA,NA
"naomprss_2012_283_308.md",2012,283,308,"Type 45 Destroyer","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2091,NA,NA,NA,NA
"naomprss_2012_309_332.md",2012,309,332,"Typhoon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2140,NA,NA,NA,NA
"naomprss_2012_333_344.md",2012,333,344,"Warrior Capability Sustainment Programme","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205,NA,NA,NA,NA
"naomprss_2012_34_49.md",2012,34,49,"Airseeker","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1567,NA,NA,NA,NA
"naomprss_2012_345_351.md",2012,345,351,"Cipher","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA
"naomprss_2012_352_357.md",2012,352,357,"Core Production Capability","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,NA,NA,NA,NA
"naomprss_2012_358_363.md",2012,358,363,"Marshall","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,NA,NA,NA,NA
"naomprss_2012_364_370.md",2012,364,370,"Military Afloat Reach and Sustainability","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,NA,NA,NA,NA
"naomprss_2012_371_378.md",2012,371,378,"Network Enabled Airspace Defence and Surveillance","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,NA
"naomprss_2012_379_384.md",2012,379,384,"Spearfish Upgrade","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,NA,NA,NA,NA
"naomprss_2012_385_393.md",2012,385,393,"Successor","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603,NA,NA,NA,NA
"naomprss_2012_394_401.md",2012,394,401,"Type 26 Global Combat Ship","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,NA,NA,NA,NA
"naomprss_2012_402_408.md",2012,402,408,"United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,NA,NA,NA,NA
"naomprss_2012_50_80.md",2012,50,80,"Astute Class Submarines","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3063,NA,NA,NA,NA
"naomprss_2012_81_95.md",2012,81,95,"Beyond Visual Range Air to Air Missile","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1397,NA,NA,NA,NA
"naomprss_2012_96_113.md",2012,96,113,"Chinook New Buy","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1696,NA,NA,NA,NA
"naomprss_2013_114_136.md",2013,114,136,"Joint Combat Aircraft (Lightning II)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1507,NA,NA,NA,NA
"naomprss_2013_13_31.md",2013,13,31,"A400M","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1662,NA,NA,NA,NA
"naomprss_2013_137_147.md",2013,137,147,"Military Afloat Reach and Sustainability","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927,NA,NA,NA,NA
"naomprss_2013_148_169.md",2013,148,169,"Queen Elizabeth Class Aircraft Carriers","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1534,NA,NA,NA,NA
"naomprss_2013_170_179.md",2013,170,179,"Scout Specialist Vehicles","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,NA
"naomprss_2013_180_204.md",2013,180,204,"Typhoon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240,NA,NA,NA,NA
"naomprss_2013_205_217.md",2013,205,217,"Warrior Capability Sustainment Programme","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1316,NA,NA,NA,NA
"naomprss_2013_218_224.md",2013,218,224,"Cipher","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,NA,NA,NA,NA
"naomprss_2013_225_232.md",2013,225,232,"Successor","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,NA,NA,NA,NA
"naomprss_2013_233_241.md",2013,233,241,"Type 26 Global Combat Ship","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,NA,NA,NA,NA
"naomprss_2013_242_243.md",2013,242,243,"Apache Attack Helicopter Capability Sustainment Programme","Concept phase projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA
"naomprss_2013_244_245.md",2013,244,245,"Utility Vehicles","Concept phase projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA
"naomprss_2013_32_67.md",2013,32,67,"Astute Class Submarines","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3677,NA,NA,NA,NA
"naomprss_2013_68_89.md",2013,68,89,"Complex Weapons Pipeline","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2059,NA,NA,NA,NA
"naomprss_2013_90_98.md",2013,90,98,"Core Production Capability","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863,NA,NA,NA,NA
"naomprss_2013_99_113.md",2013,99,113,"Future Strategic Tanker Aircraft (Voyager)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1288,NA,NA,NA,NA
"naomprss_2014_10_24.md",2014,10,24,"A400M","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,668,329,495,170,NA,NA,NA,NA
"naomprss_2014_104_126.md",2014,104,126,"Joint Combat Aircraft (Lightning II)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,844,187,642,175,NA,NA,NA,NA
"naomprss_2014_127_134.md",2014,127,134,"Military Afloat Reach and Sustainability","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,188,175,298,113,NA,NA,NA,NA
"naomprss_2014_135_154.md",2014,135,154,"Queen Elizabeth Class Aircraft Carriers","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,519,417,393,265,NA,NA,NA,NA
"naomprss_2014_155_164.md",2014,155,164,"Scout Specialist Vehicles","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,166,151,269,227,NA,NA,NA,NA
"naomprss_2014_165_190.md",2014,165,190,"Typhoon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,696,663,1004,324,NA,NA,NA,NA
"naomprss_2014_191_203.md",2014,191,203,"Warrior Capability Sustainment Programme","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,414,371,252,196,NA,NA,NA,NA
"naomprss_2014_204_210.md",2014,204,210,"Cipher","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,95,50,8,88,NA,NA,NA,NA
"naomprss_2014_211_216.md",2014,211,216,"Crowsnest","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,106,78,35,131,NA,NA,NA,NA
"naomprss_2014_217_222.md",2014,217,222,"Marshall","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,103,110,35,125,NA,NA,NA,NA
"naomprss_2014_223_228.md",2014,223,228,"Morpheus","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,94,77,10,142,NA,NA,NA,NA
"naomprss_2014_229_236.md",2014,229,236,"Successor","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,194,69,36,209,NA,NA,NA,NA
"naomprss_2014_237_245.md",2014,237,245,"Type 26 Global Combat Ship","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,70,71,14,199,NA,NA,NA,NA
"naomprss_2014_246_247.md",2014,246,247,"Apache Attack Helicopter Capability Sustainment Programme","Concept phase projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA
"naomprss_2014_25_57.md",2014,25,57,"Astute Class Submarines","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,1377,947,1129,260,NA,NA,NA,NA
"naomprss_2014_58_81.md",2014,58,81,"Complex Weapons Pipeline","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,359,603,1132,388,NA,NA,NA,NA
"naomprss_2014_82_90.md",2014,82,90,"Core Production Capability","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,146,250,177,204,NA,NA,NA,NA
"naomprss_2014_91_103.md",2014,91,103,"Future Strategic Tanker Aircraft (Voyager)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,406,290,390,152,NA,NA,NA,NA
"naomprss_2015_10_27.md",2015,10,27,"A400M","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,772,469,579,205,NA,NA,NA,NA
"naomprss_2015_110_117.md",2015,110,117,"Marshall","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,162,242,253,121,NA,NA,NA,NA
"naomprss_2015_118_127.md",2015,118,127,"Military Afloat Reach and Sustainability","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,302,177,300,150,NA,NA,NA,NA
"naomprss_2015_128_144.md",2015,128,144,"Queen Elizabeth Class Aircraft Carriers","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,271,359,525,273,NA,NA,NA,NA
"naomprss_2015_145_155.md",2015,145,155,"Scout Specialist Vehicles","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,198,248,292,177,NA,NA,NA,NA
"naomprss_2015_156_163.md",2015,156,163,"Type 26 Global Combat Ship","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,128,69,12,153,NA,NA,NA,NA
"naomprss_2015_164_190.md",2015,164,190,"Typhoon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,954,594,1244,329,NA,NA,NA,NA
"naomprss_2015_191_202.md",2015,191,202,"Future Strategic Tanker Aircraft (Voyager)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,410,290,386,141,NA,NA,NA,NA
"naomprss_2015_203_215.md",2015,203,215,"Warrior Capability Sustainment Programme","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,511,419,234,200,NA,NA,NA,NA
"naomprss_2015_216_221.md",2015,216,221,"Apache Attack Helicopter Capability Sustainment Programme","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,103,75,33,46,NA,NA,NA,NA
"naomprss_2015_222_227.md",2015,222,227,"Crowsnest","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,98,78,31,107,NA,NA,NA,NA
"naomprss_2015_228_234.md",2015,228,234,"Morpheus","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,88,93,10,167,NA,NA,NA,NA
"naomprss_2015_235_242.md",2015,235,242,"Successor","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,12,389,NA,NA,NA,NA
"naomprss_2015_28_55.md",2015,28,55,"Astute Class Submarines","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,1637,952,1100,336,NA,NA,NA,NA
"naomprss_2015_56_80.md",2015,56,80,"Complex Weapons Pipeline","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,605,738,1455,456,NA,NA,NA,NA
"naomprss_2015_81_91.md",2015,81,91,"Core Production Capability","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,201,286,186,314,NA,NA,NA,NA
"naomprss_2015_92_109.md",2015,92,109,"Joint Combat Aircraft (Lightning II)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,560,177,721,174,NA,NA,NA,NA
